"","Year","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_earnings","Director","Actor","PG"
"290",2019,90,"Guns Akimbo","A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.",98,"Action",6.3,42,66607,NA,"Jason Howden","Daniel Radcliffe","18"
"291",2019,91,"The Highwaymen","The untold true story of the legendary detectives who brought down Bonnie and Clyde.",132,"Biography",6.9,58,98201,NA,"John Lee Hancock","Kevin Costner","15"
"292",2019,92,"Downton Abbey","The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.",122,"Drama",7.4,64,60632,96.85,"Michael Engler","Stephen Campbell Moore","PG"
"293",2019,93,"Fighting with My Family","A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.",108,"Biography",7.1,68,85541,22.96,"Stephen Merchant","Dwayne Johnson","12A"
"294",2019,94,"Dreamland","A teenager's adventures as a bounty hunter take an unexpected twist.",98,"Drama",5.9,57,7952,NA,"Miles Joris-Peyrafitte","Finn Cole","15"
"295",2019,95,"Cold Pursuit","A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.",119,"Action",6.2,57,73538,32.14,"Hans Petter Moland","Liam Neeson","15"
"296",2019,96,"The Dirt","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",107,"Biography",7,39,53390,NA,"Jeff Tremaine","Douglas Booth","18"
"297",2019,97,"The Blackout","Life on Earth is rapidly destroyed except for a small area in Eastern Europe.",127,"Action",6.1,NA,10115,NA,"Egor Baranov","Aleksey Chadov","15"
"298",2019,98,"Charlie's Angels","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",118,"Action",5,52,77621,17.8,"Elizabeth Banks","Kristen Stewart","12A"
"299",2019,99,"Zombie Tidal Wave","A fisherman contends with an ocean-borne outbreak that threatens his seaside island community.",86,"Action",3.7,NA,1342,NA,"Anthony C. Ferrante","Ian Ziering","15"
"300",2019,100,"Rambo: Last Blood","Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.",89,"Action",6.1,26,105669,44.82,"Adrian Grunberg","Sylvester Stallone","18"
